n_samples,gyro_mean_x,gyro_mean_y,gyro_mean_z,acce_mean_x,acce_mean_y,acce_mean_z,gyro_std_x,gyro_std_y,gyro_std_z,acce_std_x,acce_std_y,acce_std_z,gyro_variance_x,gyro_variance_y,gyro_variance_z,acce_variance_x,acce_variance_y,acce_variance_z,label
13,4.815190930769231,6.026917723076924,4.603797873846154,0.6207744846153845,2.388052069230769,1.199669463076923,3.3284401674454744,2.882617585811628,3.1122047020008448,0.11759538652543924,1.6125401090655873,1.1911540539900196,11.078513948264458,8.309484146030458,9.685818107156166,0.013828674932067457,2.600285603345256,1.4188479803368585,circle
11,3.830514990909091,4.600584981818182,5.543827109090909,0.5284978727272728,3.0015535909090914,1.3381569454545454,3.5362010449736845,3.164838906661951,3.122508994860164,0.0906869828601266,1.3399573237257185,1.2281070600876904,12.504717830472977,10.016205305121213,9.75006242298263,0.008224128860272894,1.7954856294061898,1.5082469510372298,circle
11,5.026255581818181,4.058207354545455,6.074977818181818,0.47887074545454544,3.010742212818182,0.734086449090909,3.436113950505177,3.133476315489311,2.8176655444408336,0.11540401168311708,1.4205670110403952,0.3915290612561734,11.806879080856293,9.818673819732469,7.939239120329059,0.013318085912557022,2.0180106328562424,0.1532950058081404,circle
12,5.664079400000001,5.274836830250001,5.638030333333333,1.4446207583333335,3.8118287500000005,0.9259440416666666,3.350897538245452,3.3019009660778953,3.0405220500328376,1.7402388847190813,0.13278992624199384,0.38307827044654,11.22851431181943,10.902549989786138,9.24477433673589,3.028431375888312,0.017633164511354164,0.14674896128831244,circle
11,5.165162177272728,5.362631945454546,5.592880072727272,0.6767799727272727,2.415660590909091,0.9534134909090907,3.712826210532453,3.1774109950213667,3.010405208804697,1.061181879146822,1.735928387401361,0.4305538747814883,13.785078469616776,10.095940631282671,9.062539521198453,1.12610698062958,3.0134473661858894,0.18537663908935353,circle
12,5.452435893333333,5.099498917500001,5.280839161666667,0.4331054666666667,3.0653890250000004,0.7792562250000001,3.5765363378857713,3.4006996403701772,3.122158532413883,0.10337532910345304,1.3054758257276873,0.3536087385223017,12.791612176217363,11.564758044013852,9.74787390152481,0.010686458667247224,1.704267131559387,0.12503913995933352,circle
12,5.782179370833333,4.396060508333334,5.829440624999999,0.29829916,3.4399414375,0.8916625499999999,3.4510193618157987,3.4501801164384998,3.1068348539665274,0.16701771479521246,1.0444219790348659,0.35869286827932034,11.909534635627521,11.90374283586758,9.652422809821214,0.02789491705541493,1.0908172702911056,0.12866057375444584,circle
13,5.033684830769231,4.142237761538461,5.87348046923077,0.7143554692307692,3.1308780230769235,1.1006798692307693,3.539703001987305,3.5099163204462935,3.050787684743222,0.11804316918172442,1.2594009980022884,1.1730160945662567,12.529497342277937,12.319512576535248,9.307305497380908,0.013934189790465214,1.5860908737691604,1.3759667581114732,circle
13,5.580645536923077,4.323141415384615,5.944357053846153,0.7898700307692307,2.382925166923077,1.3483323553846154,3.2744686483563266,3.600407810205365,3.0958477874336334,0.10328632570891602,1.6817454949789659,1.3832281184565465,10.722144929068508,12.962936399787793,9.584273522957725,0.010668065078448287,2.828267909882047,1.9133200276888376,circle
13,4.961172663846154,5.460645418461539,5.492447476153846,0.7053410538461541,2.561842634384615,1.3740985615384615,3.4301639901705254,3.4244223554125317,3.097919040305914,0.11925957696017937,1.578976354334034,1.3807758570801125,11.76602499946258,11.726668468249112,9.597102380289915,0.014222846696720946,2.493166327545997,1.9065419674953192,circle
